Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
267 Other man-made fibres,2018-09,7.777,,498.39,,1.3,-1.3,0.4,1.9
268 Wool & other animal hair (incl tops),2018-09,389968.06399999995,284798.903,855.212,48.46,1.3,-1.3,0.4,1.9
269 Worn clothing & rags,2018-09,6054.8780000000015,,881.593,,1.3,-1.3,0.4,1.9
272 Crude fertilisers,2018-09,1150.912,11.734,1225.3140000000003,132.944,1.3,-1.3,0.4,1.9
"273 Stone, sand & gravel",2018-09,13383.190999999997,525.242,2251.9100000000003,319.462,1.3,-1.3,0.4,1.9
274 Sulphur & iron pyrites,2018-09,,,31.376,,1.3,-1.3,0.4,1.9
277 Natural abrasives,2018-09,11030.987000000001,12.544,567.19,216.013,1.3,-1.3,0.4,1.9
"278 Crude minerals, nes",2018-09,125088.05300000001,102865.784,9550.771,2931.569,1.3,-1.3,0.4,1.9
280 Confidential mineral ores,2018-09,498372.843,,,,1.3,-1.3,0.4,1.9
281 Iron ores & concentrates,2018-09,5460239.931999999,4528036.601,2186.817,,1.3,-1.3,0.4,1.9
282 Ferrous waste & scrap,2018-09,89749.90199999999,403.161,203.131,1.005,1.3,-1.3,0.4,1.9
283 Copper ores & concentrates,2018-09,466267.75899999996,149595.438,1646.731,,1.3,-1.3,0.4,1.9
284 Nickel ores & concentrates,2018-09,27461.645,27364.24,,,1.3,-1.3,0.4,1.9
285 Aluminium ores & conc (incl alumina),2018-09,993928.8649999999,108156.179,1105.657,812.555,1.3,-1.3,0.4,1.9
287 Other ores & concentrates,2018-09,243937.439,32222.834,129487.83399999999,,1.3,-1.3,0.4,1.9
288 Non-ferrous waste & scrap,2018-09,138133.89200000002,24670.558,738.5949999999999,,1.3,-1.3,0.4,1.9
289 Precious metal ores & conc (excl gold),2018-09,192439.17400000003,17185.485,486.173,,1.3,-1.3,0.4,1.9
"291 Crude animal matter, nes",2018-09,35652.197,15053.84,8886.812,673.356,1.3,-1.3,0.4,1.9
"292 Crude vegetable matter, nes",2018-09,16717.328,453.675,41995.68499999999,8688.819,1.3,-1.3,0.4,1.9
321 Coal,2018-09,5606905.437999999,1185512.93,6115.282,299.695,1.3,-1.3,0.4,1.9
"322 Briquettes, lignite & peat",2018-09,17.736,,1233.577,,1.3,-1.3,0.4,1.9
325 Coke & semi-coke,2018-09,,,19201.308,19140.934,1.3,-1.3,0.4,1.9
333 Crude petroleum,2018-09,634727.127,136151.604,1275866.8220000002,,1.3,-1.3,0.4,1.9
334 Refined petroleum,2018-09,287877.92899999995,3264.987,2066192.1180000002,141516.367,1.3,-1.3,0.4,1.9
"335 Residual petroleum products, nes",2018-09,3016.103,,96939.123,6785.019,1.3,-1.3,0.4,1.9
342 Liquefied propane & butane,2018-09,116016.941,22.33,35329.734000000004,68.208,1.3,-1.3,0.4,1.9
343 Natural gas,2018-09,4099220.337,,0,,1.3,-1.3,0.4,1.9
344 Petroleum gases,2018-09,193.426,,868.066,129.789,1.3,-1.3,0.4,1.9
"345 Coal gas, water gas & similar gases",2018-09,0.086,,,,1.3,-1.3,0.4,1.9
411 Animal oils & fats,2018-09,28669.045000000002,1270.233,9256.211,322.849,1.3,-1.3,0.4,1.9
"421 Fixed vegetable oils & fats, soft",2018-09,12594.246,316.542,28715.985999999997,457.955,1.3,-1.3,0.4,1.9
"422 Fixed vegetable oils & fats, hard",2018-09,3111.4269999999997,92.366,23555.730999999996,818.365,1.3,-1.3,0.4,1.9
"431 Other animal or veg oils, fats & waxes",2018-09,2988.9339999999997,,4361.636999999999,462.52,1.3,-1.3,0.4,1.9
511 Hydrocarbons & derivatives,2018-09,100.731,,11225.588000000003,3484.414,1.3,-1.3,0.4,1.9
"512 Alcohols, phenols & derivatives",2018-09,2250.6339999999996,7.911,18608.793999999998,2411.135,1.3,-1.3,0.4,1.9
513 Carboxylic acids & derivatives,2018-09,2624.406,78.9,23111.559,7931.905,1.3,-1.3,0.4,1.9
514 Nitrogen-function compounds,2018-09,6009.707999999999,309.038,38670.049999999996,17812.724,1.3,-1.3,0.4,1.9
515 Organo-inorganic compounds,2018-09,411.137,9.57,59529.265,26327.456,1.3,-1.3,0.4,1.9
516 Other organic chemicals,2018-09,1580.841,491.743,15119.061000000003,3677.288,1.3,-1.3,0.4,1.9
522 Inorganic chemical elements,2018-09,67124.16,6799.439,39077.384,11500.741,1.3,-1.3,0.4,1.9
523 Salts of inorganic acids & metals,2018-09,6599.144,318.149,42851.653999999995,15560.547,1.3,-1.3,0.4,1.9
524 Other inorganic chemicals,2018-09,422.5350000000001,,5942.476999999999,809.882,1.3,-1.3,0.4,1.9
525 Radioactive materials,2018-09,5658.628,126.548,5228.675,42.222,1.3,-1.3,0.4,1.9
531 Synthetic organic colouring,2018-09,739.9839999999999,50.804,7005.022,1296.786,1.3,-1.3,0.4,1.9
532 Dyeing & tanning extracts,2018-09,1240.65,325.083,2001.2340000000002,169.106,1.3,-1.3,0.4,1.9
"533 Pigments, paints & varnishes",2018-09,94070.11399999997,10712.998,81749.20400000001,10249.499,1.3,-1.3,0.4,1.9
541 Pharm products (excl medicaments),2018-09,214710.234,86506.997,313019.7160000001,15413.687,1.3,-1.3,0.4,1.9
542 Medicaments (incl veterinary),2018-09,226218.79299999998,88279.786,598107.9720000001,8434.387,1.3,-1.3,0.4,1.9
551 Essential oils & perfumes,2018-09,13999.513999999996,796.426,29370.594999999998,4757.309,1.3,-1.3,0.4,1.9
553 Perfumery & cosmetics (excl soap),2018-09,75429.63799999998,7087.984,211556.946,25880.896,1.3,-1.3,0.4,1.9
554 Soap & cleansers,2018-09,21642.212000000003,6725.865,65174.616,13499.997,1.3,-1.3,0.4,1.9
562 Fertilisers (excl crude),2018-09,43861.272,83.882,104598.42899999999,24363.742,1.3,-1.3,0.4,1.9
