Category,Date,Total Export Value,China Export Value,Total Import Value,China Import Value,Exports of goods and services: Percentage changes ;.1,Imports of goods and services: Percentage changes ;.1,GROSS DOMESTIC PRODUCT: Percentage changes ;.1,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;
791 Railway vehicles (incl hovertrains),2018-12,6056.471999999999,952.632,89181.09399999998,46951.093,-0.6,-0.4,0.2,1.8
"792 Aircraft, spacecraft & parts",2018-12,188663.52000000005,1774.579,392301.979,1841.625,-0.6,-0.4,0.2,1.8
"793 Ships, boats & floating structures",2018-12,444422.5559999999,244.776,71295.81899999999,4088.889,-0.6,-0.4,0.2,1.8
811 Prefabricated buildings,2018-12,1515.299,,12861.996999999996,8785.064,-0.6,-0.4,0.2,1.8
"812 Sanitary, plumbing & heating fittings",2018-12,1276.335,10.871,19153.99499999999,11856.359,-0.6,-0.4,0.2,1.8
813 Lighting fixtures & fittings,2018-12,12413.529,624.716,94774.35699999995,69009.853,-0.6,-0.4,0.2,1.8
"821 Furniture, mattresses & cushions",2018-12,15603.004000000003,3067.71,417523.89299999987,283734.902,-0.6,-0.4,0.2,1.8
"831 Travel goods, bags & like containers",2018-12,6374.793000000001,96.076,169616.233,77517.612,-0.6,-0.4,0.2,1.8
841 Men's clothing (excl knitted),2018-12,2358.0639999999994,,95305.41600000008,50327.71,-0.6,-0.4,0.2,1.8
842 Women's clothing (excl knitted),2018-12,6867.864999999999,108.125,159685.66700000002,110509.753,-0.6,-0.4,0.2,1.8
"843 Men's clothing, knitted",2018-12,1562.7269999999999,57.966,38529.60399999999,23331.801,-0.6,-0.4,0.2,1.8
"844 Women's clothing, knitted",2018-12,1045.025,49.047,72004.86599999998,47556.729,-0.6,-0.4,0.2,1.8
845 Other textile clothing,2018-12,6528.412999999999,80.987,214411.22999999998,134224.726,-0.6,-0.4,0.2,1.8
846 Textile clothing accessories,2018-12,1585.3749999999998,74.29,39931.844999999994,22138.394,-0.6,-0.4,0.2,1.8
"848 Clothing accessories, nes",2018-12,6623.098000000001,581.429,56582.355999999985,24326.58,-0.6,-0.4,0.2,1.8
851 Footwear,2018-12,10990.229999999998,2988.531,183434.8010000001,93908.149,-0.6,-0.4,0.2,1.8
871 Optical instruments,2018-12,4643.639999999999,115.681,27570.146999999997,3094.944,-0.6,-0.4,0.2,1.8
872 Medical instruments (incl veterinary),2018-12,152036.799,15090.186,286355.22599999997,30038.248,-0.6,-0.4,0.2,1.8
873 Meters & counters,2018-12,1487.907,40.86,17095.64,2791.824,-0.6,-0.4,0.2,1.8
874 Measuring & analysing instruments,2018-12,101148.739,7308.849,302162.0669999999,32702.415,-0.6,-0.4,0.2,1.8
881 Photographic equipment,2018-12,6780.096999999999,,6056.585000000001,1223.014,-0.6,-0.4,0.2,1.8
882 Photo & cinematographic supplies,2018-12,1174.878,0.053,9103.634,1524.219,-0.6,-0.4,0.2,1.8
"883 Cinematographic film, developed",2018-12,25,,3.13,,-0.6,-0.4,0.2,1.8
"884 Optical goods, nes",2018-12,23147.694999999996,693.775,96645.47600000001,35660.73,-0.6,-0.4,0.2,1.8
885 Watches & clocks,2018-12,9511.958,0.174,61963.736,10457.262,-0.6,-0.4,0.2,1.8
891 Arms & ammunition,2018-12,19992.668999999998,,78583.833,259.677,-0.6,-0.4,0.2,1.8
892 Printed matter,2018-12,25043.36,274.712,81422.88500000001,21285.817,-0.6,-0.4,0.2,1.8
"893 Plastic articles, nes",2018-12,31513.558999999997,2502.319,300435.36,178320.67,-0.6,-0.4,0.2,1.8
"894 Prams, toys, games & sporting goods",2018-12,42906.217000000004,826.85,209485.27899999995,135949.465,-0.6,-0.4,0.2,1.8
"895 Office & stationery supplies, nes",2018-12,1970.8459999999998,53.985,19073.389999999996,8627.86,-0.6,-0.4,0.2,1.8
896 Artwork & antiques,2018-12,7722.667,20,13358.901000000002,1530.429,-0.6,-0.4,0.2,1.8
897 Jewellery,2018-12,42180.794,115.239,142012.63199999998,18327.362,-0.6,-0.4,0.2,1.8
898 Musical instruments & parts,2018-12,15533.118999999999,435.453,74805.416,19870.683,-0.6,-0.4,0.2,1.8
"899 Misc manufactured articles, nes",2018-12,96676.02300000002,8351.519,201478.48299999998,39239.17,-0.6,-0.4,0.2,1.8
931 Special transactions & commodities,2018-12,111513.04799999994,2665.654,171.79699999999994,,-0.6,-0.4,0.2,1.8
951 Gold coin & legal tender coin,2018-12,67579.188,1294.866,1021.8140000000001,21.898,-0.6,-0.4,0.2,1.8
961 Coin (excl gold coin) not legal tender,2018-12,,,518.092,20.687,-0.6,-0.4,0.2,1.8
971 Gold,2018-12,722390.5610000001,11153.893,518109.40799999994,3.843,-0.6,-0.4,0.2,1.8
988 Confidential items of trade,2018-12,283364.96900000115,1813056.878,295823.90799999994,48384.06,-0.6,-0.4,0.2,1.8
Grand Total,2018-12,32142421.57500001,11306810.81199999,23424905.299999993,5889752.502000001,-0.6,-0.4,0.2,1.8
001 Live animals (excl seafood),2019-03,157553.278,21846.64,9693.155999999999,,1.2,0.4,0.5,1.3
"011 Beef, f.c.f.",2019-03,919239.721,184836.31,1413.315,,1.2,0.4,0.5,1.3
"012 Meat (excl beef), f.c.f.",2019-03,469453.907,88889.51,69643.772,,1.2,0.4,0.5,1.3
"016 Meat, salted or dried",2019-03,84.931,,3155.601,,1.2,0.4,0.5,1.3
"017 Meat, prepared or preserved",2019-03,10678.066,214.933,12773.018999999998,260.903,1.2,0.4,0.5,1.3
"022 Milk, cream, whey & yoghurt",2019-03,116026.73000000001,47718.73,34201.616,221.739,1.2,0.4,0.5,1.3
023 Butter,2019-03,14283.201,1395.9,19653.909999999996,,1.2,0.4,0.5,1.3
024 Cheese & curd,2019-03,71209.109,8825.53,59183.388,,1.2,0.4,0.5,1.3
025 Birds' eggs,2019-03,542.403,,1077.093,231.07,1.2,0.4,0.5,1.3
"034 Fish, f.c.f.",2019-03,9869.998000000003,1233.2,44656.67999999999,1903.777,1.2,0.4,0.5,1.3
"035 Fish, salted or dried",2019-03,81.09100000000001,,6485.347000000002,67.818,1.2,0.4,0.5,1.3
"036 Crustaceans, f.c.f.",2019-03,100255.40000000002,85831.18,27123.026000000005,4777.395,1.2,0.4,0.5,1.3
"037 Seafood, prepared or preserved",2019-03,5839.142,195,62744.247,4927.405,1.2,0.4,0.5,1.3
041 Wheat,2019-03,371052.20399999997,2370.47,81.349,,1.2,0.4,0.5,1.3
042 Rice,2019-03,19076.68,,17385.722999999994,87.812,1.2,0.4,0.5,1.3
043 Barley,2019-03,146019.942,104644.22,14.774000000000001,7.723,1.2,0.4,0.5,1.3
044 Maize,2019-03,607.772,30.69,91.231,,1.2,0.4,0.5,1.3
045 Other cereals,2019-03,3248.306000000001,970.102,1035.1860000000001,79.698,1.2,0.4,0.5,1.3
046 Wheat flour,2019-03,1718.285,342.311,2203.681,16.607,1.2,0.4,0.5,1.3
047 Other cereal flours,2019-03,779.082,,1696.7789999999998,33.691,1.2,0.4,0.5,1.3
048 Cereal preparations,2019-03,79006.72199999998,4594.74,91860.106,5506.465,1.2,0.4,0.5,1.3
"054 Vegetables, f.c.f.",2019-03,128638.949,1635.94,27577.499,4433.464,1.2,0.4,0.5,1.3
"056 Vegetables, prepared or preserved",2019-03,6234.2970000000005,189.1,60881.84699999998,5698.261,1.2,0.4,0.5,1.3
057 Fruit & nuts,2019-03,210695.395,75109.89,61044.554000000004,3630.897,1.2,0.4,0.5,1.3
"058 Fruit, prepared or preserved",2019-03,7772.239,1338.68,48593.46799999998,4933.924,1.2,0.4,0.5,1.3
059 Fruit juices,2019-03,5655.403,536.077,13143.325000000003,3591.933,1.2,0.4,0.5,1.3
"061 Sugars, molasses & honey",2019-03,10439.582999999999,1925.59,14745.878,2147.301,1.2,0.4,0.5,1.3
062 Sugar confectionery,2019-03,5438.320000000001,513.35,22603.07899999999,7223.454,1.2,0.4,0.5,1.3
071 Coffee & substitutes,2019-03,6168.680999999999,120.532,61940.554,1903.836,1.2,0.4,0.5,1.3
072 Cocoa,2019-03,58.82,,25476.434999999998,,1.2,0.4,0.5,1.3
073 Chocolate & preparations of cocoa,2019-03,25597.355000000003,429.426,53117.38299999999,6347.744,1.2,0.4,0.5,1.3
074 Tea & mate,2019-03,1645.01,97.108,10123.744999999997,316.386,1.2,0.4,0.5,1.3
075 Spices,2019-03,1665.604,36.441,8695.489,498.755,1.2,0.4,0.5,1.3
081 Animal feed,2019-03,114305.37099999998,12335.53,122734.395,1016.88,1.2,0.4,0.5,1.3
091 Margarine,2019-03,8667.619,132.621,4134.78,,1.2,0.4,0.5,1.3
"098 Edible products & preparations, nes",2019-03,301603.3619999999,173188.5,294048.732,14281.653,1.2,0.4,0.5,1.3
"111 Non-alcoholic beverages, nes",2019-03,7519.272999999999,687.872,34503.478,427.228,1.2,0.4,0.5,1.3
112 Alcoholic beverages,2019-03,258092.33800000002,86287.99,145343.60100000002,664.723,1.2,0.4,0.5,1.3
"121 Tobacco, unmanufactured",2019-03,,,,,1.2,0.4,0.5,1.3
"122 Tobacco, manufactured",2019-03,3910.5559999999996,17.532,125351.799,,1.2,0.4,0.5,1.3
"211 Hides & skins, raw (excl furskins)",2019-03,52965.315000000024,44513.08,349.68,116.534,1.2,0.4,0.5,1.3
"212 Furskins, raw",2019-03,,,10.317,,1.2,0.4,0.5,1.3
"222 Oil-seeds & oleaginous fruits, soft",2019-03,164184.874,,7804.214,778.001,1.2,0.4,0.5,1.3
"223 Oil-seeds & oleaginous fruits, hard",2019-03,2805.093,43.2,3578.55,979.68,1.2,0.4,0.5,1.3
231 Natural rubber,2019-03,55.137,,1883.187,,1.2,0.4,0.5,1.3
232 Synthetic rubber,2019-03,1334.207,,9982.698,1081.594,1.2,0.4,0.5,1.3
244 Cork,2019-03,,,,,1.2,0.4,0.5,1.3
245 Fuel wood,2019-03,34.148,,1134.8340000000003,17.892,1.2,0.4,0.5,1.3
246 Wood in chips or particles,2019-03,155236.272,93714.72,805.2529999999999,,1.2,0.4,0.5,1.3
"247 Wood, rough",2019-03,59405.062,54957.43,26.159,,1.2,0.4,0.5,1.3
"248 Wood, simply worked",2019-03,9320.211,2110.29,58518.708000000006,5365.717,1.2,0.4,0.5,1.3
251 Pulp & waste paper,2019-03,17584.124,6103.07,23977.260000000002,,1.2,0.4,0.5,1.3
261 Silk,2019-03,,,,,1.2,0.4,0.5,1.3
263 Cotton,2019-03,94751.277,64825.53,39.34,,1.2,0.4,0.5,1.3
264 Jute,2019-03,,,5.823,,1.2,0.4,0.5,1.3
265 Other vegetable textile fibres,2019-03,2.459,,642.629,,1.2,0.4,0.5,1.3
266 Synthetic fibres,2019-03,27.631,1.775,4951.907999999999,289.784,1.2,0.4,0.5,1.3
267 Other man-made fibres,2019-03,16.117,6.397,257.847,,1.2,0.4,0.5,1.3
268 Wool & other animal hair (incl tops),2019-03,432586.159,340281.77,498.497,34.088,1.2,0.4,0.5,1.3
269 Worn clothing & rags,2019-03,7954.019000000001,,1200.3550000000002,38.254,1.2,0.4,0.5,1.3
272 Crude fertilisers,2019-03,830.7860000000001,,7921.456,88.197,1.2,0.4,0.5,1.3
"273 Stone, sand & gravel",2019-03,11993.19,393.48,3182.023,249.117,1.2,0.4,0.5,1.3
274 Sulphur & iron pyrites,2019-03,83.84899999999999,,14034.796000000002,,1.2,0.4,0.5,1.3
277 Natural abrasives,2019-03,11642.353000000001,253.675,419.365,136.702,1.2,0.4,0.5,1.3
"278 Crude minerals, nes",2019-03,133732.964,117059.72,9916.451999999997,1594.949,1.2,0.4,0.5,1.3
280 Confidential mineral ores,2019-03,494793.42,,,,1.2,0.4,0.5,1.3
281 Iron ores & concentrates,2019-03,6052502.175,5084195.42,19.189999999999998,,1.2,0.4,0.5,1.3
282 Ferrous waste & scrap,2019-03,87726.709,272.259,131.44799999999998,,1.2,0.4,0.5,1.3
283 Copper ores & concentrates,2019-03,533118.2699999999,166219.99,1979.685,,1.2,0.4,0.5,1.3
284 Nickel ores & concentrates,2019-03,37228.10199999999,36991.31,22.998,,1.2,0.4,0.5,1.3
285 Aluminium ores & conc (incl alumina),2019-03,953571.6390000001,102216.9,1668.5579999999998,845.716,1.2,0.4,0.5,1.3
287 Other ores & concentrates,2019-03,279656.3190000001,135329.35,38309.905999999995,24.401,1.2,0.4,0.5,1.3
288 Non-ferrous waste & scrap,2019-03,120910.82199999997,36135.41,1639.842,47.753,1.2,0.4,0.5,1.3
289 Precious metal ores & conc (excl gold),2019-03,148742.59699999998,16292.78,2277.819,1960.146,1.2,0.4,0.5,1.3
"291 Crude animal matter, nes",2019-03,33969.662,7137.41,12113.767,2061.301,1.2,0.4,0.5,1.3
"292 Crude vegetable matter, nes",2019-03,17759.265,342.97,49077.206,5549.654,1.2,0.4,0.5,1.3
321 Coal,2019-03,5985615.6,1096072.53,72.201,72.201,1.2,0.4,0.5,1.3
"322 Briquettes, lignite & peat",2019-03,10.964,,1596.1570000000002,,1.2,0.4,0.5,1.3
325 Coke & semi-coke,2019-03,,,24478.889000000003,16353.248,1.2,0.4,0.5,1.3
333 Crude petroleum,2019-03,511057.946,116213.06,1088405.1760000002,,1.2,0.4,0.5,1.3
334 Refined petroleum,2019-03,197844.83899999998,1401.17,2196777.097,289814.707,1.2,0.4,0.5,1.3
"335 Residual petroleum products, nes",2019-03,579.981,258.26,101024.656,24320.194,1.2,0.4,0.5,1.3
342 Liquefied propane & butane,2019-03,110646.49600000001,22.85,910.58,,1.2,0.4,0.5,1.3
343 Natural gas,2019-03,4220245.4629999995,,0,,1.2,0.4,0.5,1.3
344 Petroleum gases,2019-03,3940.5519999999997,3614.46,405.54300000000006,37.94,1.2,0.4,0.5,1.3
"345 Coal gas, water gas & similar gases",2019-03,,,,,1.2,0.4,0.5,1.3
411 Animal oils & fats,2019-03,36013.323000000004,6323.29,7382.108000000001,188.634,1.2,0.4,0.5,1.3
"421 Fixed vegetable oils & fats, soft",2019-03,17199.641,289.077,39346.489,116.115,1.2,0.4,0.5,1.3
"422 Fixed vegetable oils & fats, hard",2019-03,1240.878,49.654,14324.013000000006,485.603,1.2,0.4,0.5,1.3
"431 Other animal or veg oils, fats & waxes",2019-03,4588.316,,5209.63,365.852,1.2,0.4,0.5,1.3
511 Hydrocarbons & derivatives,2019-03,111.643,,17727.977,3996.234,1.2,0.4,0.5,1.3
"512 Alcohols, phenols & derivatives",2019-03,6190.555999999999,732.279,16969.663,3984.201,1.2,0.4,0.5,1.3
513 Carboxylic acids & derivatives,2019-03,4979.221999999999,44.949,33479.10800000001,14778.288,1.2,0.4,0.5,1.3
514 Nitrogen-function compounds,2019-03,6785.491,310.428,40409.068999999996,13856.324,1.2,0.4,0.5,1.3
515 Organo-inorganic compounds,2019-03,674.157,,52156.623000000014,25239.287,1.2,0.4,0.5,1.3
516 Other organic chemicals,2019-03,2019.843,478.761,16174.426000000001,3391.439,1.2,0.4,0.5,1.3
522 Inorganic chemical elements,2019-03,54484.37499999999,186.387,24808.344000000005,6064.349,1.2,0.4,0.5,1.3
523 Salts of inorganic acids & metals,2019-03,6314.196999999999,38.152,38399.547,11675.276,1.2,0.4,0.5,1.3
524 Other inorganic chemicals,2019-03,432.30300000000005,39.953,2815.6889999999994,457.102,1.2,0.4,0.5,1.3
525 Radioactive materials,2019-03,3101.5860000000002,132.98,1706.339,49.732,1.2,0.4,0.5,1.3
531 Synthetic organic colouring,2019-03,798.1959999999999,18.703,4324.077000000001,791.146,1.2,0.4,0.5,1.3
532 Dyeing & tanning extracts,2019-03,1908.4030000000005,536.336,2847.724999999999,330.959,1.2,0.4,0.5,1.3
"533 Pigments, paints & varnishes",2019-03,93036.37799999997,8998,77915.75400000002,8214.578,1.2,0.4,0.5,1.3
541 Pharm products (excl medicaments),2019-03,359703.60099999997,63763.4,388493.177,13904.673,1.2,0.4,0.5,1.3
542 Medicaments (incl veterinary),2019-03,224045.79599999994,101714.97,660582.139,7718.122,1.2,0.4,0.5,1.3
551 Essential oils & perfumes,2019-03,13570.468,340.726,18538.648000000005,2608.69,1.2,0.4,0.5,1.3
553 Perfumery & cosmetics (excl soap),2019-03,89876.03899999999,15179.67,201970.396,10284.703,1.2,0.4,0.5,1.3
554 Soap & cleansers,2019-03,26242.128000000008,8206.99,75538.46900000001,13891.01,1.2,0.4,0.5,1.3
562 Fertilisers (excl crude),2019-03,7080.713000000001,74.702,306476.8999999999,131199.111,1.2,0.4,0.5,1.3
571 Primary ethylene polymers,2019-03,1456.664,16.341,33714.341,,1.2,0.4,0.5,1.3
572 Primary styrene polymers,2019-03,683.543,5.092,10107.422,630.327,1.2,0.4,0.5,1.3
573 Primary vinyl chloride polymers,2019-03,909.5100000000001,134.768,27001.596999999998,371.372,1.2,0.4,0.5,1.3
574 Primary polyacetals,2019-03,5497.478,620.422,38874.119999999995,5076.235,1.2,0.4,0.5,1.3
575 Other primary plastics,2019-03,18729.779000000002,1470.77,67899.36700000001,11656.565,1.2,0.4,0.5,1.3
579 Primary plastic waste & scrap,2019-03,3919.3869999999993,23.625,1342.621,287.632,1.2,0.4,0.5,1.3
"581 Plastic tubes, pipes & hoses",2019-03,14914.042000000003,607.525,32224.356,7833.9,1.2,0.4,0.5,1.3
"582 Plastic plates, sheets & film",2019-03,25817.909999999996,922.656,120492.92,21138.121,1.2,0.4,0.5,1.3
583 Plastic monofilament,2019-03,583.382,2.455,7094.585,3413.547,1.2,0.4,0.5,1.3
"591 Insecticides, herbicides, disinfectants",2019-03,12897.895000000002,2600.88,71483.277,25530.243,1.2,0.4,0.5,1.3
"592 Starches, inulin & wheat gluten",2019-03,59996.760999999984,5995.35,36605.682,4926.309,1.2,0.4,0.5,1.3
593 Explosives & pyrotechnics,2019-03,2877.213,223.076,52864.999,5611.627,1.2,0.4,0.5,1.3
597 Prepared additives for mineral oils,2019-03,10492.269000000002,674.816,31880.682999999997,1451.001,1.2,0.4,0.5,1.3
"598 Miscellaneous chemical products, nes",2019-03,20483.422000000006,236.462,113316.68499999997,10775.448,1.2,0.4,0.5,1.3
599 Residual chemical wastes,2019-03,151.159,,23.58,2.263,1.2,0.4,0.5,1.3
611 Leather,2019-03,12194.115,2519.48,4682.312,3.418,1.2,0.4,0.5,1.3
612 Leather manufactures,2019-03,585.11,18.94,5422.830000000002,2131.997,1.2,0.4,0.5,1.3
"613 Furskins, tanned or dressed",2019-03,29.127,,618.114,401.173,1.2,0.4,0.5,1.3
621 Materials of rubber,2019-03,7544.371000000001,342.851,29877.107000000004,2459.675,1.2,0.4,0.5,1.3
"625 Rubber tyres, treads & tubes",2019-03,8718.625999999998,49.935,267678.35699999996,57943.514,1.2,0.4,0.5,1.3
"629 Rubber articles, nes",2019-03,12606.042,467.663,56339.38399999999,11955.087,1.2,0.4,0.5,1.3
633 Cork manufactures,2019-03,65.381,,3378.059,136.245,1.2,0.4,0.5,1.3
"634 Veneers, plywood & particle board",2019-03,7987.530999999999,1360.29,43362.318,13888.237,1.2,0.4,0.5,1.3
"635 Wood manufactures, nes",2019-03,3513.393,102.736,58682.23999999999,14282.298,1.2,0.4,0.5,1.3
641 Paper & paperboard,2019-03,84593.48399999998,11848.33,129667.39999999998,20817.639,1.2,0.4,0.5,1.3
"642 Paper & paperboard, cut to size",2019-03,10561.366,62.685,103131.71800000002,35714.844,1.2,0.4,0.5,1.3
651 Textile yarn,2019-03,844.591,6.182,20789.799,5496.282,1.2,0.4,0.5,1.3
"652 Cotton fabrics, woven",2019-03,1097.131,,4919.951999999999,975.922,1.2,0.4,0.5,1.3
"653 Man-made fabrics, woven",2019-03,2095.1280000000006,120.137,11082.765,2611.421,1.2,0.4,0.5,1.3
"654 Other textile fabrics, woven",2019-03,2395.184,29.422,4953.7379999999985,927.286,1.2,0.4,0.5,1.3
655 Knitted or crocheted fabrics,2019-03,831.167,15.313,4920.408,2089.563,1.2,0.4,0.5,1.3
"656 Tulles, lace & ribbons",2019-03,208.17800000000003,20.858,2850.9660000000003,1025.171,1.2,0.4,0.5,1.3
657 Special yarns & fabrics,2019-03,8333.105000000001,717.841,43671.103,16270.422,1.2,0.4,0.5,1.3
"658 Made-up textile articles, nes",2019-03,5392.102000000001,813.198,136359.10799999995,73381.443,1.2,0.4,0.5,1.3
659 Floor coverings,2019-03,4501.590000000001,,41912.57300000001,9826.501,1.2,0.4,0.5,1.3
"661 Lime, cement & construction materials",2019-03,2279.1589999999997,40.85,49633.85499999998,6801.278,1.2,0.4,0.5,1.3
662 Clay construction materials,2019-03,3756.3410000000003,34.92,29709.069000000007,10356.396,1.2,0.4,0.5,1.3
"663 Mineral manufactures, nes",2019-03,6558.312000000001,55.5,63775.78500000002,16414.122,1.2,0.4,0.5,1.3
664 Glass,2019-03,3397.132,195.94,43334.17100000001,20437.003,1.2,0.4,0.5,1.3
665 Glassware,2019-03,3683.9059999999995,454.552,30113.87399999999,11954.759,1.2,0.4,0.5,1.3
666 Pottery,2019-03,1168.548,1.935,10628.480999999998,7528.239,1.2,0.4,0.5,1.3
667 Pearls & gems,2019-03,45417.168000000005,4.114,99435.832,340.752,1.2,0.4,0.5,1.3
671 Pig-iron,2019-03,464.433,,7702.88,590.816,1.2,0.4,0.5,1.3
672 Iron or steel ingots,2019-03,315.289,,246.729,21.842,1.2,0.4,0.5,1.3
673 Uncoated flat-rolled iron & steel,2019-03,39141.990000000005,50.169,16124.224999999999,282.383,1.2,0.4,0.5,1.3
674 Coated flat-rolled iron & steel,2019-03,23444.777000000006,,44178.869000000006,3191.84,1.2,0.4,0.5,1.3
675 Flat-rolled alloy steel,2019-03,3988.1030000000005,98.054,19185.906000000003,3818.352,1.2,0.4,0.5,1.3
676 Iron & steel bars & rods,2019-03,23950.312,,42037.417,5011.679,1.2,0.4,0.5,1.3
677 Rails of iron or steel,2019-03,3096.818,103.495,868.567,183.468,1.2,0.4,0.5,1.3
678 Wire of iron or steel,2019-03,707.8249999999999,,15031.149,2309.969,1.2,0.4,0.5,1.3
679 Tubes & pipes of iron or steel,2019-03,10714.315999999999,132.168,110570.08599999998,28955.279,1.2,0.4,0.5,1.3
681 Silver & platinum,2019-03,3704.297,4.408,9635.574,1.573,1.2,0.4,0.5,1.3
682 Copper,2019-03,346173.87599999993,135931.2,69069.708,17486.973,1.2,0.4,0.5,1.3
683 Nickel,2019-03,124548.778,929.132,7272.33,597.769,1.2,0.4,0.5,1.3
684 Aluminium,2019-03,347194.8560000001,342.205,109610.46799999996,39682.372,1.2,0.4,0.5,1.3
685 Lead,2019-03,33364.082,,862.274,,1.2,0.4,0.5,1.3
686 Zinc,2019-03,138184.41100000002,56768.61,4823.162999999999,1194.29,1.2,0.4,0.5,1.3
687 Tin,2019-03,15.585,15.585,1682.517,,1.2,0.4,0.5,1.3
689 Other non-ferrous metals,2019-03,3148.406,427.731,7678.670000000002,3930.425,1.2,0.4,0.5,1.3
"691 Iron, steel, aluminium structures",2019-03,14263.566000000004,613.644,139196.97100000002,66489.159,1.2,0.4,0.5,1.3
692 Metal containers,2019-03,10077.255000000003,118.416,18645.46,5184.915,1.2,0.4,0.5,1.3
693 Wire products,2019-03,5249.359999999999,374.974,26072.035,7826.984,1.2,0.4,0.5,1.3
"694 Nails, screws, nuts, bolts & rivets",2019-03,13249.411999999998,486.52,67050.827,24023.698,1.2,0.4,0.5,1.3
695 Hand or machine tools,2019-03,17235.779999999995,220.649,71794.93000000004,19682.855,1.2,0.4,0.5,1.3
696 Cutlery,2019-03,2334.104,7.88,16851.380999999994,6916.762,1.2,0.4,0.5,1.3
"697 Household equip of base metal, nes",2019-03,2405.109,108.216,55121.34100000003,33655.925,1.2,0.4,0.5,1.3
"699 Manufactures of base metal, nes",2019-03,54326.58799999999,1802.65,195437.43699999995,79321.829,1.2,0.4,0.5,1.3
711 Steam boilers & parts,2019-03,154.03199999999998,,1482.717,649.902,1.2,0.4,0.5,1.3
712 Steam & other vapour turbines,2019-03,72.60799999999999,17.534,1996.311,,1.2,0.4,0.5,1.3
713 Internal combustion piston engines,2019-03,36389.987,721.513,118674.07600000002,7450.005,1.2,0.4,0.5,1.3
714 Non-electric engines & motors,2019-03,19291.709000000003,253.879,84558.38199999998,189.469,1.2,0.4,0.5,1.3
716 Rotating electric plant & parts,2019-03,14753.974999999999,1016.18,240035.163,132724.079,1.2,0.4,0.5,1.3
718 Power generating machinery & parts,2019-03,13697.081000000002,422.323,83848.32200000003,36695.549,1.2,0.4,0.5,1.3
721 Agric machinery (excl tractors) & parts,2019-03,9283.292,525.966,78004.73499999999,9046.736,1.2,0.4,0.5,1.3
722 Tractors,2019-03,928.904,,55237.84700000001,539.334,1.2,0.4,0.5,1.3
723 Civil engineering equipment & parts,2019-03,71680.326,3511.89,381679.797,34889.955,1.2,0.4,0.5,1.3
724 Textile & leather machinery & parts,2019-03,3618.2039999999997,188.939,13004.467000000002,1339.168,1.2,0.4,0.5,1.3
725 Paper & pulp mill machinery & parts,2019-03,2199.5429999999997,140,21143.736999999997,2537.301,1.2,0.4,0.5,1.3
726 Printing machinery & parts,2019-03,4980.772999999999,12.321,5314.358,338.459,1.2,0.4,0.5,1.3
727 Food processing machines & parts,2019-03,13535.279,299.678,28717.717000000008,2038.379,1.2,0.4,0.5,1.3
728 Specialised machinery & parts,2019-03,61862.96199999998,4358.52,190448.221,35380.18,1.2,0.4,0.5,1.3
731 Machine tools for removing metal,2019-03,7898.304000000001,83.161,27481.509,3462.613,1.2,0.4,0.5,1.3
733 Machine tools for working metal,2019-03,258.977,,11137.648999999998,1597.315,1.2,0.4,0.5,1.3
735 Machine tools parts,2019-03,6115.076000000001,111.868,9381.947000000002,622.372,1.2,0.4,0.5,1.3
737 Metalworking machinery & parts,2019-03,2804.730999999999,125.566,14950.630000000003,3045.189,1.2,0.4,0.5,1.3
741 Heating & cooling equipment & parts,2019-03,23569.627,541.161,219521.11499999996,46489.583,1.2,0.4,0.5,1.3
742 Pumps for liquids & parts,2019-03,36374.74800000001,1616.29,99006.82799999998,14928.225,1.2,0.4,0.5,1.3
743 Pumps (excl liquid pumps) & parts,2019-03,35664.624,1271.84,202025.28500000006,34150.857,1.2,0.4,0.5,1.3
744 Mechanical handling equip & parts,2019-03,37090.585999999996,5486.12,243690.801,55205.014,1.2,0.4,0.5,1.3
745 Non-electrical machinery & parts,2019-03,26092.619000000006,368.614,137453.59300000002,21250.793,1.2,0.4,0.5,1.3
746 Ball or roller bearings,2019-03,4639.211,168.698,31666.600000000006,1476.865,1.2,0.4,0.5,1.3
"747 Taps, cocks & valves",2019-03,25208.290999999994,1480.35,131505.477,21928.487,1.2,0.4,0.5,1.3
748 Transmission shafts & parts,2019-03,23076.435,193.532,92512.73400000001,9519.509,1.2,0.4,0.5,1.3
749 Non-electric parts for machinery,2019-03,7071.088000000001,85.352,25380.149999999998,2908.984,1.2,0.4,0.5,1.3
751 Office machines,2019-03,14807.160000000002,348.819,104255.26699999999,43472.02,1.2,0.4,0.5,1.3
752 Computers,2019-03,96931.43199999999,11263.19,744888.2209999998,500071.822,1.2,0.4,0.5,1.3
759 Computer parts & accessories,2019-03,35772.244000000006,2057.57,48803.795999999995,30038.654,1.2,0.4,0.5,1.3
"761 Monitors, projectors & TVs",2019-03,5006.428,515.995,187267.81800000012,91101.066,1.2,0.4,0.5,1.3
762 Radio broadcast receivers,2019-03,822.4079999999999,27.184,10561.137,2715.073,1.2,0.4,0.5,1.3
763 Sound & video recorders,2019-03,1347.116,,10089.159,5594.519,1.2,0.4,0.5,1.3
764 Telecom equipment & parts,2019-03,188705.22800000006,12737.85,1108445.5259999996,501143.885,1.2,0.4,0.5,1.3
771 Electric power machinery & parts,2019-03,23783.017,438.02,114617.005,44830.485,1.2,0.4,0.5,1.3
